State,Public charging Station, 2 -Wheelers sales,3- Wheelers Sales,4- Wheelers Sales,Bus,Others,EV Penetration(%),Total Sales
Andaman & Nicobar,3,12,0,14,0,0,,
Andhra Pradesh,222,28434,1062,1623,90,297,3.81,31506
Arunachal Pradesh,9,3,0,18,0,0,,
Assam,48,2455,57900,269,158,16,9.3,60798
Bihar,83,12393,75191,587,0,15,6.85,88186
Chandigarh,6,2148,3202,956,0,27,12.2,6333
Chhattisgarh,46,25093,11351,1171,0,23,6.76,37638
Delhi,1845,37522,26344,8177,1121,323,11.24,73487
Goa,44,8328,45,962,45,60,11.64,9440
Gujarat,195,78499,3041,6573,106,398,4.87,88617
Haryana,232,7432,20321,2656,0,80,3.64,30489
Himachal Pradesh,27,887,39,152,35,13,0.88,1126
Jammu & Kashmir,24,1828,7599,143,150,0,5.69,9720
Jharkhand,60,7400,13225,452,2,18,3.88,21097
Karnataka,704,133640,5437,11658,280,257,8.72,151272
Kerala,192,61528,4070,8988,70,58,10.05,74714
Ladakh,,18,1,0,9,0,,
Lakshadweep,1,3,0,0,0,0,,
Madhya Pradesh,174,36226,29292,1460,15,58,4.55,67051
Maharashtra,660,167773,11523,13750,451,438,7.57,193935
Manipur,16,89,280,30,0,0,1.5,399
Meghalaya,19,72,19,20,0,2,0.28,113
Mizoram,,166,0,0,0,0,0.58,166
Nagaland,6,3,0,3,0,0,,
Odisha,117,38351,4767,1337,21,76,6.02,44552
Puducherry,4,2451,92,90,0,4,4.76,2632
Punjab,126,8753,16114,780,0,94,4.02,25741
Rajasthan,254,59470,29732,4490,6,120,6.16,93818
Sikkim,1,0,0,0,0,0,,
Tamil Nadu,441,78422,5375,6019,43,383,4.94,90242
Telangana,365,,,,,,,
Tripura,18,256,6025,30,0,1,11.14,6312
Dadar &Nagar Haveliand Daman &Diu,1,99,17,43,0,1,0.71,160
Uttar Pradesh,406,39968,232595,4580,50,107,8.13,277300
Uttarakhand,48,5688,10617,488,0,1,6.54,16794
West Bengal,189,11429,7272,2602,14,138,2.14,21455
Total,"6,586",,,,,,,
